# Worked-example acronym registry (@PLN141) — maps a tag acronym to the repo that
# owns it, so a `// Example: @AAA-###` citation resolves to a real test/function and
# produces a real link.  Tab-separated:  acronym <TAB> repo <TAB> git_url <TAB> branch
#
# Projects are assumed to be checked out as SIBLINGS in one parent directory, so the
# local checkout is simply `../<repo>` — no per-entry path navigation.  A present
# sibling is validated OFFLINE against its checkout (preferred over online); a missing
# one is reported unvalidated (a warning, never a hard failure), with the link still
# emitted from git_url.  The acronym namespace is ecosystem-global: one acronym names
# one repo everywhere.
#
# MONOREPO libraries: several packages share one git repo (e.g. loft-libs-graphics
# holds graphics + gridmesh + shapes).  The `repo` column is that monorepo's checkout
# dir (`../loft-libs-graphics`), so multiple acronyms map to it — the gate scans the
# whole tree for the acronym's `// @AAA-###` tag and emits a repo-relative blob link
# (`.../blob/main/gridmesh/tests/x.loft#L12`), so no per-package path column is needed.
# The rows below stake the ecosystem-global acronym claim so no other repo reuses them.
# The distributed LIBRARIES are loft's to roll out (shared code, each guarded by its own
# validated contract); the first-class APPS (DRY/CRW/MOR) are their own agents' to author
# — loft only CITES those.  Which acronyms carry tags today: each repo's examples-index.tsv.
#
# acronym	repo	git_url	branch
STD	loft	https://github.com/loft-lang/loft	main
GIT	loft	https://github.com/loft-lang/loft	main
LEX	loft	https://github.com/loft-lang/loft	main
PAR	loft	https://github.com/loft-lang/loft	main
ACR	loft	https://github.com/loft-lang/loft	main
EHK	loft	https://github.com/loft-lang/loft	main
# FTR — demonstrators authored FOR a feature-catalogue entry (@PLN141 C2).  A feature
# issue cites the tag that shows the feature carrying REAL work; where that use already
# exists the citation names its own acronym (@STD, @HXL, …) and no FTR tag is needed.
FTR	loft	https://github.com/loft-lang/loft	main
DRY	dryopea	https://github.com/jjstwerff/dryopea	main
CRW	crawler	https://github.com/jjstwerff/crawler	main
MOR	moros	https://github.com/jjstwerff/moros	main
# loft-libs-core (arguments, cbor, crypto, random, regex, zttext)
ARG	loft-libs-core	https://github.com/loft-lang/loft-libs-core	main
CBR	loft-libs-core	https://github.com/loft-lang/loft-libs-core	main
CRY	loft-libs-core	https://github.com/loft-lang/loft-libs-core	main
RGX	loft-libs-core	https://github.com/loft-lang/loft-libs-core	main
RND	loft-libs-core	https://github.com/loft-lang/loft-libs-core	main
ZTX	loft-libs-core	https://github.com/loft-lang/loft-libs-core	main
# loft-libs-graphics (graphics, gridmesh, shapes, imaging, stage, text2d, tween, drawing)
GFX	loft-libs-graphics	https://github.com/loft-lang/loft-libs-graphics	main
STG	loft-libs-graphics	https://github.com/loft-lang/loft-libs-graphics	main
TXD	loft-libs-graphics	https://github.com/loft-lang/loft-libs-graphics	main
TWN	loft-libs-graphics	https://github.com/loft-lang/loft-libs-graphics	main
GRM	loft-libs-graphics	https://github.com/loft-lang/loft-libs-graphics	main
IMG	loft-libs-graphics	https://github.com/loft-lang/loft-libs-graphics	main
SHP	loft-libs-graphics	https://github.com/loft-lang/loft-libs-graphics	main
DRW	loft-libs-graphics	https://github.com/loft-lang/loft-libs-graphics	main
# loft-libs-net (game_protocol, server, web, ssh)
GMP	loft-libs-net	https://github.com/loft-lang/loft-libs-net	main
SRV	loft-libs-net	https://github.com/loft-lang/loft-libs-net	main
WEB	loft-libs-net	https://github.com/loft-lang/loft-libs-net	main
SSH	loft-libs-net	https://github.com/loft-lang/loft-libs-net	main
# loft-libs-game (fixstep, input, time)
FIX	loft-libs-game	https://github.com/loft-lang/loft-libs-game	main
INP	loft-libs-game	https://github.com/loft-lang/loft-libs-game	main
TIM	loft-libs-game	https://github.com/loft-lang/loft-libs-game	main
# loft-libs-assets (glb, mesh3d)
GLB	loft-libs-assets	https://github.com/loft-lang/loft-libs-assets	main
MSH	loft-libs-assets	https://github.com/loft-lang/loft-libs-assets	main
PAK	loft-libs-assets	https://github.com/loft-lang/loft-libs-assets	main
# loft-libs-plugins (pluginabi)
PAB	loft-libs-plugins	https://github.com/loft-lang/loft-libs-plugins	main
# loft-libs-world (hex_body, hex_draw, hex_edge, hex_fit, hex_form, hex_grid, hex_place, hex_recover, hex_roof, hex_shape, hex_terrain, hex_way, hex_world)
HXB	loft-libs-world	https://github.com/loft-lang/loft-libs-world	main
HXD	loft-libs-world	https://github.com/loft-lang/loft-libs-world	main
HXE	loft-libs-world	https://github.com/loft-lang/loft-libs-world	main
HXF	loft-libs-world	https://github.com/loft-lang/loft-libs-world	main
HXG	loft-libs-world	https://github.com/loft-lang/loft-libs-world	main
HXI	loft-libs-world	https://github.com/loft-lang/loft-libs-world	main
HXL	loft-libs-world	https://github.com/loft-lang/loft-libs-world	main
HXP	loft-libs-world	https://github.com/loft-lang/loft-libs-world	main
HXR	loft-libs-world	https://github.com/loft-lang/loft-libs-world	main
HXS	loft-libs-world	https://github.com/loft-lang/loft-libs-world	main
HXT	loft-libs-world	https://github.com/loft-lang/loft-libs-world	main
HXV	loft-libs-world	https://github.com/loft-lang/loft-libs-world	main
HXW	loft-libs-world	https://github.com/loft-lang/loft-libs-world	main
HXY	loft-libs-world	https://github.com/loft-lang/loft-libs-world	main
HTM	loft-libs-docs	https://github.com/loft-lang/loft-libs-docs	main
MKD	loft-libs-docs	https://github.com/loft-lang/loft-libs-docs	main
